	filename	st_time	label	type
109947	Y13FNUBmplY	23	0	train
93534	SDpgj-947hg	39	0	train
189390	zleV5xLzF5c	16	0	train
102272	VLuerVXFD84	223	0	train
162537	pEU3CKy04Bc	39	0	train
72556	KyCvyco8s6s	50	0	train
14881	308x4Di55gA	23	0	train
94067	SQt0fMAmvR8	250	0	train
186806	yqvS3ItdNLQ	42	0	train
3244	-pyc2ddMs2U	62	0	train
64359	IIRg_apJQpQ	226	0	train
85339	PPFwZJOXDY8	91	0	train
179792	wNZ4qj7YXUA	85	0	train
4857	0EqrTOxbLr8	11	0	train
183099	xY0-3033mT4	0	0	train
2465	-cKVrbxrDcU	9	0	train
138751	gwMYkmf9DYI	22	0	train
73586	LJ8xszg_bnE	90	0	train
56804	FnbhJ-6LE5o	95	0	train
40575	AkXTp7cusoo	74	0	train
110988	YNxbO5cyhmU	2	0	train
93533	SDpgj-947hg	29	0	train
112602	Yw7QbJD-E1k	69	0	train
33894	8eYP0c8aAX0	3	0	train
45659	CKTU641d7lE	95	0	train
71031	KTQig7CKVHU	22	0	train
94068	SQt0fMAmvR8	281	0	train
142879	iLhJ2bv_GP8	10	0	train
130753	eCrTU9Iel18	75	0	train
90465	R9zVpiCCdoI	231	0	train
186338	yfcWXnkPkfA	25	0	train
165187	qBcqawqcC3Y	132	0	train
156496	n5_5XBljajc	87	0	train
6639	0iEGWsFFelw	67	0	train
25160	6-19NFtyrhQ	1	0	train
24290	5jTkWeRVChc	14	0	train
181061	wpLhJ_w_YLg	11	0	train
28271	6vnmlkFDIBg	26	0	train
80860	Npq4bGtxxS0	176	0	train
178929	w2tz7FKK0yQ	7	1	train
159768	oEfooqchQMo	6	1	train
89534	QqT-xf5P1cY	6	1	train
90238	R4sg84mUiOU	2	1	train
55335	FJtVcf6sTEU	167	1	train
177004	v2vDK9OWxvM	12	1	train
181948	x7n7QfBdMGs	1	1	train
57908	GAljz_gsNA8	0	1	train
53189	EcDXrePTDl0	33	1	train
85574	PUQ7VQDo9bA	28	1	train
174806	u2JaJScxSZw	6	1	train
155266	mfVMrdmnsqY	91	1	train
9942	1dMajBXH2PI	19	1	train
98822	U7JFpKfagQk	17	1	train
154069	mFMdWNtIp5A	11	1	train
82094	OFEEkQruU0o	176	1	train
78921	N7xh3NEVgms	12	1	train
92386	RnfuA3yasYY	83	1	train
135196	fjN23DwzgFM	77	1	train
188770	zYLCF18RS4k	115	1	train
188667	zW1gBvyYVAk	8	1	train
5440	0Ph48akpfOE	195	1	train
88727	QZ0bX9lyDiw	51	1	train
176173	udH8V5gsHE8	3	1	train
169703	rqNedWEq9wA	8	1	train
173314	tUXHMTA9c1s	4	1	train
111624	YaI_jCvezs4	390	1	train
73848	LP6mfk-pq9I	7	1	train
152117	lb88cW8SxQA	7	1	train
89053	Qg1bsG6R6zE	26	1	train
117378	_aLV9QKr6ms	13	1	train
34528	8tJR7jz18xI	3	1	train
128216	dJeibOjXLKs	389	1	train
108273	XSVUCe5auVk	22	1	train
178675	vwKU1Xd_2Ns	26	1	train
75165	LqEq7TJXS8s	15	1	train
109758	XyM7J6Uh9dA	36	1	train
160450	oUdaubDnyXQ	140	1	train
149326	kd8xqqdEUAs	208	1	train
90500	RAmJrrujWOI	1	1	train
67587	JLC6xN8gMps	33	1	train
98656	U2xEkSL5HI4	38	1	train
121284	at0C_jDBlhM	177	1	train
19758	4OEC7Y9k8_4	0	1	train
92904	S-4H26u4PYg	95	1	train
54828	F8LpIV30zlc	15	1	train
164657	q-cTmcbbXUc	2	1	train
65697	IiX_3XnzkKo	1	1	train
34856	9-N8v-cC0Tg	2	1	train
188771	zYLCF18RS4k	317	1	train
51556	E6fiNj716-0	4	1	train
60845	H9A_dftYJrU	0	1	train
135135	fiLMwCQevN8	109	1	train
65777	IjyfoA2ClYw	156	1	train
105295	WT8Skm9fR2Y	9	1	train
149723	km_hVyma2vo	5	1	train
135134	fiLMwCQevN8	41	1	train
67011	J8r4xFddplY	0	1	train
97606	TfOkdP53ToI	46	1	train
100000	UWu1fydf930	1	1	train
136086	g1odp0s5qg0	82	1	train
42035	BCLJAIC0V20	11	1	train
55336	FJtVcf6sTEU	287	1	train
115203	Zov_vT0ryBk	0	1	train
172091	sw7VlLey6ts	97	1	train
177255	vAZcjK1mwuE	4	1	train
30581	7bhrOhKM_qI	35	1	train
67409	JHYaFMhZd9M	24	1	train
85887	P_m_FQhNeKo	28	1	train
46435	CZiZUrFOV_g	137	1	train
68176	JX1VAfz4G_4	0	1	train
42036	BCLJAIC0V20	99	1	train
169507	rl5zJlrEjRg	0	1	train
109759	XyM7J6Uh9dA	46	1	train
133593	fBWIMfU14Sk	200	1	train
82127	OFr74zI1LBM	0	1	train
38911	AGWwDGOKhXs	16	1	train
101827	VAF9Xk_iZhE	62	1	train
9637	1Z7DSRJk4uU	16	1	train
175666	uNmvDRHdkwI	16	1	train
52560	EQ2S35bforg	52	1	train
187934	zEWBnnZaCA8	0	1	train
80281	NcDH6UHwXCM	80	1	train
147294	jw4u--bLaLM	0	1	train
17161	3cMrwXYnjd4	26	1	train
112301	YpnHJGqgw6c	45	1	train
92442	RoxRAG6E8Pw	154	1	train
170	-1cRD9GzcFY	0	1	train
176255	ufdlvlzPpwk	4	1	train
90310	R6Umgf5Nr_0	0	1	train
40857	ApuaWFC2lac	11	1	train
92903	S-4H26u4PYg	61	1	train
94713	Se-AXHao7HU	46	1	train
16907	3Z5ENQVGhPs	13	1	train
187891	zDakYRyqnew	30	1	train
28925	766Sa1diUr0	109	1	train
123135	bWTslw2fLwc	1	1	train
147869	k8WmxfhrNlo	697	1	train
143560	iaUwr0fTHzA	23	1	train
152692	lnnF0hco4Ds	210	1	train
128215	dJeibOjXLKs	342	1	train
99489	UMBLjGLdxEU	6	1	train
172090	sw7VlLey6ts	47	1	train
29411	7ElKMSpUiPc	28	1	train
52538	EPmKDRAraCQ	30	1	train
51762	EANBGesofDE	3	1	train
161854	ozmPF4Kf5BU	86	1	train
23623	5YII4sGTJ6A	83	1	train
119445	aHWu9GY1JIs	3	1	train
34745	8y80n1wpD_w	9	1	train
153624	m5DdgzxSQSA	21	1	train
38853	AFjoHTokpt0	46	1	train
84924	PElZh6YKyz4	1	1	train
44133	Br6jiCEE0o0	0	1	train
15639	3Cbt8HuFAAQ	123	1	train
167860	rAEN23ftUgs	29	1	train
103848	Vx2vUGo8QiI	0	1	train
109475	XsG2l5zZn7c	2	1	train
3249	-q0m29pHK98	1	1	train
31266	7pXn3rku_UY	61	1	train
97605	TfOkdP53ToI	36	1	train
111283	YU5xdtteA3U	30	1	train
11204	2-Ege-WLlgU	46	1	train
118357	_vQ-yp5Pv1A	91	2	train
186743	ypA8TfpdNMo	22	2	train
144967	j5l1NcxvwVo	292	2	train
24933	5vhu8QNbbxI	67	2	train
161901	p-gQZVIq7sk	80	2	train
189320	zja5kNGPoBA	15	2	train
144812	j2AFqijZgq4	173	2	train
189605	zqrhj3CJfv0	150	2	train
142992	iOVqkeKnUZY	172	2	train
498	-7-OBu1n4ng	98	2	train
189857	zw2B_KFqdW0	182	2	train
143990	il17TclY-Mg	2	2	train
99825	UTPT1WEZpZI	564	2	train
176668	ut4B4rXBT1c	90	2	train
89420	Qo9LvkT9TVc	118	2	train
149805	koQF9XsQgjY	203	2	train
166733	qkDNyxJAyq4	325	2	train
187062	yvwlcx0-xnY	609	2	train
130240	e0x7N9kntRk	121	2	train
186742	ypA8TfpdNMo	7	2	train
100711	UlMSgdUtguE	344	2	train
142951	iNWWGCjTn8o	110	2	train
166626	qhrZQd5upCg	143	2	train
532	-7iUkVeOgkk	23	2	train
81057	NuXwqfPfQes	279	2	train
102595	VTrFHIP2wIA	26	2	train
144966	j5l1NcxvwVo	215	2	train
150771	l7dl6MqoKrU	94	2	train
148694	kQZoPH3OhMQ	2	2	train
13916	2ikc-RAks0w	935	2	train
164080	pni_pbOyHN8	462	2	train
136978	gLTvwzBktxE	52	2	train
144334	is2gWcJIMek	212	2	train
104186	W35Zzw2771g	163	2	train
65385	Ic3CVwevSi0	21	2	train
186646	ymSKbAM2WmY	341	2	train
44344	BvsIjbRshpE	143	2	train
120017	aTsk8DGCcmc	42	2	train
149897	kq_RzhN5ud4	144	2	train
62863	Honj-TQHx3U	129	2	train
94311	SWWaQhb04lQ	222	2	train
24343	5kE3ngBWV_U	307	2	train
187722	zA7nadjLB_k	69	2	train
147751	k5hO9unsCWA	187	2	train
90248	R59ku9-X8Fc	100	2	train
185005	yCOXANighCo	149	2	train
73709	LM-l1I4cc5c	8	2	train
107423	XA2VM79hTlg	13	2	train
84138	OyUeFDg5jCM	65	2	train
140178	hRmha8cS7JU	0	2	train
58468	GNm3B8o3dds	182	2	train
74651	Lf9gpz3FRdA	26	2	train
72825	L2zqTYgcpfg	43	2	train
78824	N64HKBov-dE	20	2	train
182878	xSt3IL2mhPM	58	2	train
64014	IBQRuNgHRjM	77	2	train
151167	lGtRJjnC4PI	210	2	train
146777	jl1WzuJFj7o	174	2	train
178547	vriMbXnA1r4	289	2	train
67981	JTEdufQI5GQ	522	2	train
159971	oKgjYf0aVZA	532	2	train
186675	yn0OVncrgwM	128	2	train
167110	qsw8_70SUSc	0	2	train
150772	l7dl6MqoKrU	151	2	train
125257	cH-ONa6k-0A	61	2	train
91060	RMXNscTuw8s	21	2	train
1819	-TUZB1d9ofA	163	2	train
111196	YS1IG78rGpc	245	2	train
99195	UFjjei8s31A	576	2	train
189076	zeQ2UsC1oKk	16	2	train
161425	oqPu4UtUi4Q	57	2	train
117077	_Uh7ZF2Ulm4	192	2	train
92454	RpLE_5UDkt4	255	2	train
174076	tmpG8tXQT0U	3	2	train
102525	VSY7MdOJoaw	67	2	train
55571	FOIr3YDU9p8	486	2	train
153194	lxMhaNnvtac	9	2	train
161359	oozMDcNjzm8	22	2	train
102850	V_xRSxKE1jg	142	2	train
168548	rOkLNRHPloQ	260	2	train
130239	e0x7N9kntRk	6	2	train
169364	ri3f1UNKUJU	84	2	train
18275	3xpH6BQyWwk	274	2	train
39901	A_OVXxnKrs4	76	2	train
141353	hpkJEL-AnKA	132	2	train
81448	O1ne-c3KPG0	105	2	train
104185	W35Zzw2771g	68	2	train
143991	il17TclY-Mg	146	2	train
129570	dmbx596522o	107	2	train
189604	zqrhj3CJfv0	16	2	train
112957	Z2mo2GdC6nc	63	2	train
65667	IhyMewcj0yQ	499	2	train
44343	BvsIjbRshpE	19	2	train
168615	rQbj9uvYL8I	50	2	train
108838	XdtTmgPxoDQ	58	2	train
67366	JGk6WRlCymU	577	2	train
155800	mrQWjWsbJgU	516	2	train
66041	IpMNmAu9i7w	180	2	train
183472	xeNP2hhWmYA	52	2	train
165435	qHIP_chEiQk	375	2	train
112958	Z2mo2GdC6nc	126	2	train
131988	edaHyeIxzcI	124	2	train
110383	YA_ogi8bJeQ	79	2	train
99194	UFjjei8s31A	499	2	train
80278	Nc9Z5NJzE4s	1	2	train
10640	1pUymzpBlwA	40	2	train
77066	MUgo4GloKw0	159	2	train
82531	OP6YNR3St38	116	2	train
106308	WmjawuFvDu4	28	2	train
68253	JYhflrRZhJs	44	2	train
186607	ylfWFDmtirU	200	2	train
91524	RW_uc-JkhDk	286	2	train
151830	lVu2EQcb8wE	278	2	train
40063	AcDLvQCok64	83	2	train
95866	T2UqyNgtgn8	438	2	train
90199	R3ydHvHPQgQ	243	2	train
69420	JvjqWBNJvqE	75	2	train
74049	LTLRjL8Myc0	86	2	train
68091	JVYNV1WYhqk	87	2	train
63694	I4rBSHpso5s	0	2	train
166573	qgXzxq6Bugw	47	2	train
21566	4vvcVmWn0Vo	62	2	train
152250	leDa4rgJMUg	80	2	train
110163	Y5rGyP6SSYM	71	3	train
62373	Henm5fCboCg	71	3	train
160784	oblp76G2DmI	50	3	train
64324	IHrz8URnta4	86	3	train
168876	rXT00WpwDrU	50	3	train
821	-C8RKRnU2pg	29	3	train
95465	SuVx1KfiS6I	8	3	train
40615	AlTNj6IWey4	112	3	train
58766	GU1yW1RAoWU	606	3	train
669	-9ywcjOQsFc	58	3	train
105998	Wg_kiibLxBM	4	3	train
182236	xEZZbR9Ee6I	2	3	train
2529	-dPcZHYsCa0	182	3	train
126844	cp-ZI_fQ1l0	164	3	train
69732	K1Lnj6PQ89Y	10	3	train
138420	gpDkuPTITZI	118	3	train
128684	dU6zrdvUIFI	4	3	train
86756	PrivLv5kNs4	111	3	train
108143	XPUhfZjSEf0	162	3	train
5366	0OZ985n1Q1s	5	3	train
15503	3A0AlepZY7c	109	3	train
126020	cXaQ7aykA0E	10	3	train
61436	HMO0ibdFAUw	85	3	train
12931	2TkyCqUJhig	192	3	train
38404	A7mXVx_o_Rw	4	3	train
69731	K1Lnj6PQ89Y	0	3	train
60032	GswFgtUKNSE	25	3	train
75769	M2Ab_sb_wFQ	0	3	train
71723	Kfp-G4NWyJs	118	3	train
17217	3d4ps8jH5MU	4	3	train
46894	ChCmJfn62OU	86	3	train
93035	S2E6EExjyQ4	14	3	train
69840	K3ANJvHjdqw	215	3	train
35098	94mMR_HhFac	4	3	train
164234	pr9Ot9KGVLc	107	3	train
12018	2DPy0aCkSEk	3	3	train
164457	pwXoAbu1BH8	191	3	train
51255	E0IZHGIGztU	29	3	train
153937	mCb9RfQKf5U	557	3	train
87441	Q55RfpBka8w	40	3	train
1311	-KdBaGgzf4w	70	3	train
113561	ZG0LZhJxAtQ	52	3	train
165822	qP_XkRo-sW8	1	3	train
97067	TUoc-XL84U4	111	3	train
175059	u8zqKhlLtes	39	3	train
36696	9aMJBg9UaoM	3	3	train
79770	NQQqTAFuFxw	92	3	train
39942	AaA7kPfC5Hk	124	3	train
109047	Xit--JehrzY	91	3	train
173282	tThCD8YmmaE	30	3	train
136395	g867u70Oczo	16	3	train
105078	WOKnW1qdGus	66	3	train
108261	XSHhmIAxjx0	69	3	train
146824	jlo9aFWLUzs	114	3	train
47663	CwZp76C3AhE	93	3	train
85779	PYo7P9sWaAE	105	3	train
91971	ResVOStRodo	101	3	train
2293	-_gaZzFfzDQ	412	3	train
183495	xezp8RaWOP8	29	3	train
71792	KhA6Ty5CCqQ	52	3	train
131995	eddv2gWkR1s	86	3	train
167646	r56DCdl_v6M	9	3	train
126626	cjUq5_HBWaM	4	3	train
61439	HMSaSTWFzWU	64	3	train
19202	4DDfD4-cEVo	168	3	train
106046	WhYZc08Jk_Y	180	3	train
106018	WgzBUA51Ixs	202	3	train
183477	xeS25F6uHic	162	3	train
131991	edc1J7HJCg8	130	3	train
63932	I9gELPxPG8Q	72	3	train
141271	hnxOy_4M_cU	105	3	train
59487	GhkQtcF06ng	58	3	train
36205	9RUUoJLGil8	37	3	train
41460	B1SipVuaIhM	204	3	train
49337	DTU30MNjCx0	36	3	train
110332	Y9RhsJyUH3w	11	3	train
30316	7XLMpyqLP7k	9	3	train
134501	fVAiQX7wINw	173	3	train
76158	MAujzrodH74	43	3	train
111654	Yb313jk43w8	21	3	train
74788	LiFrFhxR5VM	34	3	train
58257	GIpImFxJ4Ic	45	3	train
181522	wzdi5HEHm_o	69	3	train
17743	3o-Eaixw6ec	118	3	train
79768	NQMVimFTAwk	10	3	train
127498	d4BV9_bl3z8	53	3	train
189442	zmjfwDCeQ98	142	3	train
103244	VjHK0FFFXYg	163	3	train
23402	5USHgdkRwkA	129	3	train
85048	PIBYv3TRh2U	21	3	train
10000	1eQE_zbuuFA	55	3	train
122828	bPBjsCVEHvk	28	3	train
22144	55kTgMoMO54	90	3	train
3380	-sF7NaTEIQo	141	3	train
149696	km3p-fapIMg	261	3	train
105697	Wa_KrNNebzU	18	3	train
128403	dO1Enu4uTtU	105	3	train
71577	Kci3xCPkRMg	34	3	train
14456	2tySiVDqMw4	138	3	train
31138	7mk9V89-0Hs	41	3	train
146064	jVPi3Baz8k4	20	3	train
59594	GjsAXnGB27M	112	3	train
18497	40fY2IC-RLU	125	3	train
67244	JEJQRXYIg5w	13	3	train
10093	1g9tCYN62HQ	81	3	train
120362	a_nUNftOssw	7	3	train
166883	qnYxK83C6A4	55	3	train
13366	2_OnVT0HQCc	327	3	train
53585	EjVuOufxoBY	136	3	train
182364	xHp6ryuJwoo	113	3	train
150532	l2pa-h42fBQ	6	3	train
162394	pAp0ij3eTVY	21	3	train
50635	DpZfa4clugY	243	3	train
137673	g_6jZ0YbMz4	108	3	train
120645	aflbm6ipcks	28	3	train
35394	9A-617sP3zo	85	3	train
69854	K3HC7cgJL3U	40	3	train
133324	f5kNlb0prOE	70	3	train
136896	gJWaT_ZjZz4	69	3	train
147623	k2RUKscPVBI	89	3	train
70564	KJ__XDVL8ec	17	3	train
112819	Z-sb1drGPmE	4	3	train
187786	zBa49YhlG2Q	68	3	train
188995	zcUERguR0xg	12	4	train
45622	CJjTs72p1gI	2	4	train
50628	DpSMRYBjwdk	3	4	train
175494	uJKhZf5vfuE	96	4	train
15033	32WjWeBFCeM	123	4	train
172580	tAbaDzPzC4Y	38	4	train
68063	JV2n0dr_qZY	0	4	train
11992	2D1ClzNvVGw	506	4	train
44824	C4l0CG4ojf4	25	4	train
59311	GeAI5YxW-7A	148	4	train
139006	h0L6YpWh0KM	72	4	train
68237	JY8zDM3ApXA	7	4	train
47166	CmIgUQlwOKw	511	4	train
19445	4I6z0N2xdh8	83	4	train
62886	HpLJ5utM9wo	0	4	train
33534	8YvaA_D9XKA	185	4	train
57991	GCtgditd9Ao	312	4	train
81719	O7KCtFRaWck	80	4	train
55978	FXfd-aBzaaA	21	4	train
27826	6mKOGZU0xMQ	3	4	train
61225	HHE6-CYf2VE	0	4	train
165550	qJP3l03u1uc	324	4	train
182708	xOh4vvDhfe4	428	4	train
108072	XNvrVBTermw	28	4	train
102815	V_DPm2lloDc	213	4	train
3324	-rE8CpfEUxQ	60	4	train
17230	3dGlIZbJqWE	0	4	train
164988	q6yOOfIunL8	1	4	train
27309	6cRmNYOvCiU	250	4	train
117284	_Z5ETAiJvmA	380	4	train
38630	ABbj9XFAW2A	70	4	train
92289	RlhYM7ihHdc	198	4	train
145742	jNZsWF8HuLg	93	4	train
105390	WV4bJUjjAUA	383	4	train
57126	FuiLqXgVu18	0	4	train
3559	-vLRPZQbsUI	93	4	train
131106	eKhCUr7O0-8	80	4	train
126708	clK-tGbZt6k	14	4	train
93912	SMo3neynJU4	435	4	train
122496	bINcD7AZQ3M	240	4	train
123921	bmnvxtJp34w	0	4	train
185635	yQyWzrkduvo	214	4	train
149922	kqxM7ILknbA	50	4	train
104022	W-V7X1c6Kkg	48	4	train
25392	63A9b-BMzbg	14	4	train
42600	BNm5AKqrq1Q	0	4	train
135477	fpfiQYp5LdY	12	4	train
79330	NGjxaXAOb2Y	24	4	train
140043	hOVRxw-fGLg	132	4	train
142150	i5YKTA7eGXs	52	4	train
122362	bGGbsXuyOpU	24	4	train
31604	7x39_-ze2r4	1	4	train
180882	wl7UcsNJNjU	0	4	train
21448	4t_Qz9RyUm8	6	4	train
115470	Zv3qUdOPu0A	51	4	train
58197	GHh-Ilm68Kk	34	4	train
35855	9J1PMhNY2MM	62	4	train
160603	oYe46obCJhc	28	4	train
30093	7S_JmKUDc44	142	4	train
75989	M745dKymJus	12	4	train
149036	kXSCtJLQiYs	259	4	train
19446	4I6z0N2xdh8	218	4	train
30667	7dKHoKBVnYw	10	4	train
68194	JXE67pXH8d4	65	4	train
146739	jjygn9E8_Vw	9	4	train
180637	wfyO_8ngZ3k	67	4	train
180348	w_WQxcYJwFk	15	4	train
39062	AJaIN729lc8	119	4	train
166539	qfUyIFKTxUQ	11	4	train
187905	zDpX1nLIC10	92	4	train
23017	5MV1vzJ1J5g	31	4	train
33033	8OKH2TaZiYM	143	4	train
138214	gktiZhnNVvY	177	4	train
134341	fRrg1hF3TFI	48	4	train
81908	OB9KbQYlz2U	48	4	train
31281	7plJldZIFhg	13	4	train
120147	aWREd8i2VAY	14	4	train
24906	5uwzHqZn-Os	41	4	train
56884	FpbmVHxKazI	6	4	train
25919	6BzTUuIG7qw	33	4	train
118138	_qv5DKiK7nE	47	4	train
187904	zDpX1nLIC10	26	4	train
22023	53ohFLBl0iE	70	4	train
5	--96EN9NUQM	242	4	train
131022	eIwDWoQjLKI	2	4	train
49724	D_N0rTZZb4k	18	4	train
57127	FuiLqXgVu18	10	4	train
37521	9qsr_2wjnsU	26	4	train
131479	eSspgUDyNXQ	17	4	train
22022	53ohFLBl0iE	52	4	train
17160	3cLmAjCl0hE	430	4	train
131698	eXM4tdaNR-M	56	4	train
108860	XeNIEE81lnY	0	4	train
42247	BGEu5qwDl60	15	4	train
136640	gDrtRjDl3w8	10	4	train
55215	FHJdKw8D0eg	299	4	train
30730	7eB7pn5ZvB0	1	4	train
163859	pir4vAH_CL8	11	4	train
48908	DK_bLnRpz8I	13	4	train
64758	IPCpCk055mI	111	4	train
28201	6uG_hoXkRVI	0	4	train
136734	gGBGgtvmhQg	1	4	train
55589	FOZPD9Bxl-I	151	4	train
113429	ZDCW8qr4ITY	43	4	train
38082	A1s_SbJ1qyM	0	4	train
31614	7xOyT74Ne-s	162	4	train
97729	TifMhhV7XHc	259	4	train
37520	9qsr_2wjnsU	1	4	train
167331	qy_KALYJ7Ns	3	4	train
153252	lyNMrVwEpOM	0	4	train
81720	O7KCtFRaWck	108	4	train
34263	8nEiCAJb58Q	134	4	train
70804	KP1vCZdJBAI	130	4	train
118139	_qv5DKiK7nE	68	4	train
122361	bGGbsXuyOpU	11	4	train
116959	_RdCUxe_RqY	22	4	train
182818	xRFSkzIh0SE	91	4	train
107261	X72Cb9l21hs	40	4	train
16589	3TksWh0mhEk	90	4	train
124612	c2JIpdRFqV4	380	4	train
131480	eSspgUDyNXQ	44	4	train
162947	pNmT2l7Wk2I	60	4	train
186729	yomjpywGsRg	2	4	train
70912	KRGbu9_v5H4	335	5	train
172969	tM878i00yf4	17	5	train
47732	Cy2akN2bTX4	17	5	train
72468	KwYUVNTUkYo	46	5	train
172039	suHiaiRqPtY	53	5	train
153100	lvu4KCNuptM	235	5	train
63433	I-ekpaeYnp8	401	5	train
102485	VRrELISNqOI	170	5	train
6082	0_3dkIoHUt4	105	5	train
134513	fVJ-5bsz6L8	49	5	train
104202	W3LFNoWvSa4	5	5	train
117395	_akd-o3ppAE	110	5	train
63549	I28QneqRj_k	2	5	train
75842	M3rJOweXnFE	358	5	train
114765	ZfMCi2qSoyQ	121	5	train
89116	QhPneMqTjFw	49	5	train
167826	r9czobYV7gs	137	5	train
6492	0fM3t0eUTW0	14	5	train
10727	1rLYECT65dU	187	5	train
186542	ykKJDDhiKAY	14	5	train
76983	MT6Odyb4acA	96	5	train
15496	39pxYm1HEpg	17	5	train
142048	i368QdYnafg	11	5	train
121247	asSBcOLyJNA	84	5	train
106132	WjKNQTlarcQ	121	5	train
150601	l4G0qKr3DYY	17	5	train
134514	fVJ-5bsz6L8	83	5	train
117853	_l5zh2nikMk	2	5	train
180323	w_7w_0FjgVs	170	5	train
184413	xz4maaqx3cA	9	5	train
63432	I-ekpaeYnp8	144	5	train
138056	ghNAV1cDnHE	53	5	train
123013	bTYeyV7WXm0	30	5	train
176431	ul4t6Fv8GWo	35	5	train
149801	koEyhiRx7F4	967	5	train
2111	-Y3O7r_e86k	0	5	train
10726	1rLYECT65dU	173	5	train
127174	cwoYhfiftWs	234	5	train
44492	BzFBHaWU4Y4	18	5	train
148415	kKEFliJWUGs	6	5	train
181593	x094LrtaXWY	77	5	train
147479	k-AKVEheu4g	96	5	train
31248	7pFzqfWoDoA	230	5	train
185358	yKmN3olVon8	624	5	train
121174	aqt_sGrWBBk	63	5	train
50363	Dk2YgVuPgJA	139	5	train
2840	-iscyPtbIYE	79	5	train
27060	6ZhHHVsAnI4	18	5	train
114179	ZT3X1fYFViE	966	5	train
25723	68LbBh_uP4k	199	5	train
91852	RcHxmGPYy-U	14	5	train
187029	yvHSsS12vMU	89	5	train
60501	H2I6oIuTj9M	65	5	train
54808	F7wxEhp5-tQ	93	5	train
136287	g635bGjg_bY	8	5	train
152037	l_H_1qzt_bU	34	5	train
58336	GKpQNGODS3M	195	5	train
43034	BW88vdWxQco	90	5	train
118255	_tKvChohkqs	337	5	train
21937	52GBb6ArCqA	90	5	train
38849	AFf0Wm6Qx5M	10	5	train
116863	_Pm4A9bNmXk	22	5	train
89117	QhPneMqTjFw	63	5	train
